INT1	INT2	Co-expression	Genetic interactions	Protein-protein interactions (high-throughput)	Domain co-occurrence	Genomic context	Phylogenetic similarity	Predicted from 3D structure	Conditional genetic interactions	Co-citation	Protein-protein interactions (low-throughput)	Co-expression	Genetic interactions	Protein-protein interactions (high-throughput)	Domain co-occurrence	Genomic context	Phylogenetic similarity	Predicted from 3D structure	Conditional genetic interactions	Co-citation	Protein-protein interactions (low-throughput)
YBR056W	ULA1	0.282	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22306294	0	0	0	0	0	0	0	0	0
YBR056W	ARP2	0.215	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18463633	0	0	0	0	0	0	0	0	0
YBR056W	AIM17	0.862	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database Osmotic	0	0	0	0	0	0	0	0	0
YBR056W	CRD1	0.554	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22719263	0	0	0	0	0	0	0	0	0
YBR056W	MEF2	0.590	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	VPS15	0.605	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22289124	0	0	0	0	0	0	0	0	0
YBR056W	PEP12	0.899	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22384390	0	0	0	0	0	0	0	0	0
YBR056W	RAV1	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18854817	0	0	0	0	0	0	0	0	0
YBR056W	ATG8	0.954	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE25582	0	0	0	0	0	0	0	0	0
YBR056W	ATG12	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17043222	0	0	0	0	0	0	0	0	0
YBR056W	ATG9	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22289124	0	0	0	0	0	0	0	0	0
YBR056W	ATG1	0.484	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19804647	0	0	0	0	0	0	0	0	0
YBR056W	ATG17	0.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18854817	0	0	0	0	0	0	0	0	0
YBR056W	ATG4	0.450	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22719263	0	0	0	0	0	0	0	0	0
YBR056W	ATG3	0.543	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26150418	0	0	0	0	0	0	0	0	0
YBR056W	ATG7	0.766	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	PTC6	0.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE30054	0	0	0	0	0	0	0	0	0
YBR056W	ATG29	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE23012	0	0	0	0	0	0	0	0	0
YBR056W	ATG14	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21971086	0	0	0	0	0	0	0	0	0
YBR056W	YLR211C	0.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE23012	0	0	0	0	0	0	0	0	0
YBR056W	VPS8	0.808	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	SEC17	0.253	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	GGA1	0.974	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19804647	0	0	0	0	0	0	0	0	0
YBR056W	VTI1	0.476	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database Osmotic	0	0	0	0	0	0	0	0	0
YBR056W	YIM1	0.786	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database DNA Damage	0	0	0	0	0	0	0	0	0
YBR056W	DDR2	0.666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database Osmotic	0	0	0	0	0	0	0	0	0
YBR056W	BMH1	0.712	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database DNA Damage	0	0	0	0	0	0	0	0	0
YBR056W	BMH2	0.359	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19804647	0	0	0	0	0	0	0	0	0
YBR056W	PTK2	0.585	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22306294	0	0	0	0	0	0	0	0	0
YBR056W	RTC2	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database DNA Damage	0	0	0	0	0	0	0	0	0
YBR056W	ATG22	0.618	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20737431	0	0	0	0	0	0	0	0	0
YBR056W	ADR1	0.590	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	PRK1	0.636	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15899877	0	0	0	0	0	0	0	0	0
YBR056W	RIM15	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22289124	0	0	0	0	0	0	0	0	0
YBR056W	SMK1	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25177541	0	0	0	0	0	0	0	0	0
YBR056W	STE11	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	RCK2	0.326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	UBI4	0.878	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	SAF1	0.883	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	FIS1	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24073228	0	0	0	0	0	0	0	0	0
YBR056W	YOR019W	0.485	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22289124	0	0	0	0	0	0	0	0	0
YBR056W	TPK1	0.953	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	RNY1	0.964	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19804647	0	0	0	0	0	0	0	0	0
YBR056W	KHA1	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	COG8	0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22745270	0	0	0	0	0	0	0	0	0
YBR056W	RAS2	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database DNA Damage	0	0	0	0	0	0	0	0	0
YBR056W	ATG32	0.629	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	CIS1	0.906	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	ATG33	0.889	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18854817	0	0	0	0	0	0	0	0	0
YBR056W	ATG34	0.988	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	VPS34	0.643	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18854817	0	0	0	0	0	0	0	0	0
YBR056W	PEP4	0.419	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE25582	0	0	0	0	0	0	0	0	0
YBR056W	CUE5	0.188	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22558379	0	0	0	0	0	0	0	0	0
YBR056W	MON1	0.192	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE23012	0	0	0	0	0	0	0	0	0
YBR056W	TRS23	0.803	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	ATG19	0.978	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20737431	0	0	0	0	0	0	0	0	0
YBR056W	NVJ1	0.769	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	ATG36	0.952	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22289124	0	0	0	0	0	0	0	0	0
YBR056W	SNX4	0.260	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	HAP2	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20233714	0	0	0	0	0	0	0	0	0
YBR056W	SKS1	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15899877	0	0	0	0	0	0	0	0	0
YBR056W	VID28	0.838	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20737431	0	0	0	0	0	0	0	0	0
YBR056W	RVS161	0.279	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	YPK1	0.668	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database DNA Damage	0	0	0	0	0	0	0	0	0
YBR056W	BEM1	0.256	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22306294	0	0	0	0	0	0	0	0	0
YBR056W	SDS24	0.930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	SKM1	0.591	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17043222	0	0	0	0	0	0	0	0	0
YBR056W	NPR2	0.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	MDH1	0.753	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26150418	0	0	0	0	0	0	0	0	0
YBR056W	GUT2	0.920	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE17877	0	0	0	0	0	0	0	0	0
YBR056W	SIP2	0.428	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22719263	0	0	0	0	0	0	0	0	0
YBR056W	HSP104	0.933	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database Diauxic	0	0	0	0	0	0	0	0	0
YBR056W	UGA2	0.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE23012	0	0	0	0	0	0	0	0	0
YBR056W	MCR1	0.576	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database Osmotic	0	0	0	0	0	0	0	0	0
YBR056W	LOT6	0.701	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20737431	0	0	0	0	0	0	0	0	0
YBR056W	PSK1	0.715	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22306294	0	0	0	0	0	0	0	0	0
YBR056W	CMK1	0.279	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database DNA Damage	0	0	0	0	0	0	0	0	0
YBR056W	CMK2	0.534	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22745270	0	0	0	0	0	0	0	0	0
YBR056W	TPK2	0.993	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19804647	0	0	0	0	0	0	0	0	0
YBR056W	CSG2	0.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22745270	0	0	0	0	0	0	0	0	0
YBR056W	TOS3	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database DNA Damage	0	0	0	0	0	0	0	0	0
YBR056W	AKL1	0.521	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21971086	0	0	0	0	0	0	0	0	0
YBR056W	NNK1	0.303	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE30054	0	0	0	0	0	0	0	0	0
YBR056W	FMP48	0.396	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20737431	0	0	0	0	0	0	0	0	0
YBR056W	YAK1	0.867	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	KNS1	0.539	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	RIM11	0.577	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26150418	0	0	0	0	0	0	0	0	0
YBR056W	TDA1	0.785	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20737431	0	0	0	0	0	0	0	0	0
YBR056W	NPR1	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	YKL100C	0.894	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18854817	0	0	0	0	0	0	0	0	0
YBR056W	PRB1	0.989	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	ROY1	0.414	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	GPD1	0.902	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	NTH1	0.924	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22384390	0	0	0	0	0	0	0	0	0
YBR056W	TPS2	0.984	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19804647	0	0	0	0	0	0	0	0	0
YBR056W	GOR1	0.962	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	HFD1	0.812	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE25582	0	0	0	0	0	0	0	0	0
YBR056W	CYC7	0.778	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17043222	0	0	0	0	0	0	0	0	0
YBR056W	PHM8	0.596	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	DOA4	0.887	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22384390	0	0	0	0	0	0	0	0	0
YBR056W	DOA1	0.814	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database DNA Damage	0	0	0	0	0	0	0	0	0
YBR056W	YDR018C	0.555	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	MCA1	0.335	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24073228	0	0	0	0	0	0	0	0	0
YBR056W	BRO1	0.395	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE30054	0	0	0	0	0	0	0	0	0
YBR056W	YPT52	0.756	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database DNA Damage	0	0	0	0	0	0	0	0	0
YBR056W	VPS73	0.917	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18854817	0	0	0	0	0	0	0	0	0
YBR056W	VPS13	0.806	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20737431	0	0	0	0	0	0	0	0	0
YBR056W	YPT53	0.705	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	SFT2	0.808	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database Nutrition	0	0	0	0	0	0	0	0	0
YBR056W	VPS29	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database DNA Damage	0	0	0	0	0	0	0	0	0
YBR056W	SSH4	0.556	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	IWR1	0.550	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	YDL199C	0.976	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22289124	0	0	0	0	0	0	0	0	0
YBR056W	YBR137W	0.707	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	MSP1	0.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22384390	0	0	0	0	0	0	0	0	0
YBR056W	COQ4	0.976	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20737431	0	0	0	0	0	0	0	0	0
YBR056W	GYP7	0.608	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17043222	0	0	0	0	0	0	0	0	0
YBR056W	TVP15	0.808	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20737431	0	0	0	0	0	0	0	0	0
YBR056W	BXI1	0.695	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20737431	0	0	0	0	0	0	0	0	0
YBR056W	RHO1	0.295	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24073228	0	0	0	0	0	0	0	0	0
YBR056W	FYV10	0.567	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE23012	0	0	0	0	0	0	0	0	0
YBR056W	UBX3	0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	FMC1	0.266	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17166056	0	0	0	0	0	0	0	0	0
YBR056W	AIM37	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stanford Microarray Database DNA Damage	0	0	0	0	0	0	0	0	0
MPA43	RMA1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	YBR287W	0.000	0.552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	YET2	0.752	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22380681	0	0	0	0	0	0	0	0	0
MPA43	OPY1	0.000	0.608	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	YEL043W	0.000	0.237	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	ECM9	0.000	0.487	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	YPL109C	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	UIP4	0.000	0.626	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	RIM13	0.000	0.236	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	MBR1	0.000	0.795	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	ACT1	0.000	0.000	0.463	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	16429126	0	0	0	0	0	0	0
MPA43	RSP5	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	AIM17	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	CRD1	0.000	0.422	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	VAC8	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	ATG8	0.000	0.240	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	ATG17	0.512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22380681	0	0	0	0	0	0	0	0	0
MPA43	ATG4	0.000	0.814	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	ATG2	0.000	0.882	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	ATG7	0.000	0.794	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	ATG20	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22384390	0	0	0	0	0	0	0	0	0
MPA43	ATG5	0.000	0.538	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	ATG29	0.000	0.517	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	ATG14	0.000	0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	CDC48	0.000	0.123	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	ARF2	0.897	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22380681	0	0	0	0	0	0	0	0	0
MPA43	SEC24	0.744	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22380681	0	0	0	0	0	0	0	0	0
MPA43	YIM1	0.000	0.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	BMH2	0.000	0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	SPT6	0.000	0.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	RTC2	0.000	0.136	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	GIS1	0.000	0.178	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	ADR1	0.000	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	RIM15	0.000	0.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	STE50	0.000	0.453	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	TOF2	0.000	0.209	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	PKH1	0.000	0.223	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
MPA43	UBI4	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	21987634	0	0	0	0	0	0	0	0
