Term Number	Similarity Score	Num Genes	Curated name
204	3.581	3	AtgO:204
103	3.533	3	AtgO:103
104	3.532	3	AtgO:104
31	3.514	7	AtgO:31
12	3.492	72	AtgO:12
17	3.454	49	AtgO:17
195	3.436	2	AtgO:195
249	3.422	2	AtgO:249
144	3.417	2	AtgO:144
223	3.382	64	AtgO:223
142	3.375	2	AtgO:142
137	3.312	2	AtgO:137
248	3.279	2	AtgO:248
221	3.257	134	AtgO:221
224	3.254	53	AtgO:224
219	2.892	364	AtgO:219
86	2.784	4	AtgO:86
83	2.717	4	AtgO:83
233	2.699	7	AtgO:233
5	2.689	408	AtgO:5
81	2.681	4	AtgO:81
235	2.664	5	AtgO:235
39	2.663	9	AtgO:39
59	2.64	5	AtgO:59
50	2.613	7	AtgO:50
229	2.591	12	AtgO:229
42	2.57	9	AtgO:42
238	2.569	4	AtgO:238
241	2.563	3	AtgO:241
4	2.292	463	AtgO:4
230	2.292	11	AtgO:230
10	1.973	141	AtgO:10
3	1.773	479	AtgO:3
225	1.564	25	AtgO:225
222	1.536	73	AtgO:222
227	1.475	14	AtgO:227
34	1.469	12	AtgO:34
29	1.463	18	AtgO:29
2	1.446	489	AtgO:2
28	1.415	22	AtgO:28
45	1.412	8	AtgO:45
36	1.4	9	AtgO:36
1	0	496	AtgO:1
